,ep,mean_score_last25_ep,epsilon,ep_time,all_time_highest
0,25,0.16,0.6861335792948532,0.0237673282623291,2
1,50,0.08,0.6725418409085236,0.024338436126708985,2
2,75,0.2,0.6592193436115932,0.027816111246744792,2
3,100,0.2,0.6461607539608947,0.03077190637588501,2
4,125,0.4,0.6333608441643567,0.031113059997558593,3
5,150,0.08,0.6208144899881424,0.030196967124938964,3
6,175,0.12,0.6085166687052468,0.029249213082449776,3
7,200,0.32,0.5964624570847306,0.02873260259628296,3
8,225,0.28,0.5846470294207843,0.0300295533074273,3
9,250,0.12,0.5730656556008373,0.0297483606338501,3
10,275,0.52,0.5617136992119346,0.02899935548955744,3
11,300,0.16,0.5505866156846249,0.0284674596786499,3
12,325,0.4,0.5396799504736162,0.029009026747483475,3
13,350,0.12,0.5289893372744735,0.0287067106791905,3
14,375,0.24,0.5185104962756384,0.029296276092529296,3
15,400,0.16,0.5082392324450776,0.029524085521698,3
16,425,0.16,0.4981714338508714,0.029336157406077666,3
17,450,0.12,0.48830307001506795,0.029055457644992403,3
18,475,0.48,0.47863019030014836,0.02891386634425113,3
19,500,0.32,0.4691489223274537,0.028508408546447754,3
20,525,0.68,0.4598554704269412,0.028867643901279993,3
21,550,0.24,0.450746114117651,0.028573748415166682,3
22,575,0.32,0.4418172066182718,0.028607970942621647,3
23,600,0.28,0.43306517338721234,0.028267982800801596,3
24,625,0.32,0.4244865106915917,0.028215698623657227,3
25,650,0.64,0.4160777842045782,0.02818425435286302,3
26,675,0.4,0.40783562763051256,0.028060910613448533,3
27,700,0.28,0.3997567413572666,0.02785991907119751,3
28,725,0.4,0.39183789113529754,0.027761953945817618,3
29,750,0.32,0.3840759067828697,0.027831297556559245,3
30,775,0.48,0.376467680916924,0.027827149052773753,3
31,800,0.76,0.3690101677090881,0.027975093126296997,3
32,825,0.44,0.3617003816663297,0.028049013542406485,3
33,850,0.24,0.35453539643576176,0.02872067591723274,3
34,875,0.48,0.3475123436331272,0.028812371117728098,3
35,900,0.44,0.3406284116944867,0.02886563301086426,3
36,925,0.48,0.33388084475065577,0.02880783003729743,3
37,950,0.8,0.32726694152393815,0.028701154056348297,4
38,975,1.16,0.320784054246713,0.02917987823486328,4
39,1000,0.6,0.31442958760144524,0.029088301181793213,4
40,1025,0.76,0.3082009976816919,0.02904599701485983,4
41,1050,0.4,0.30209579097369144,0.029130421366010392,4
42,1075,0.32,0.2961115233581268,0.028912615443384925,4
43,1100,0.44,0.2902457991316615,0.02867098179730502,4
44,1125,0.56,0.2844962700478599,0.02844952456156413,4
45,1150,0.44,0.2788606343771046,0.02839172425477401,4
46,1175,0.76,0.27333663598513736,0.028443438347349775,4
47,1200,0.84,0.26792206342985236,0.028468432029088338,4
48,1225,0.72,0.2626147490759818,0.02835156654825016,4
49,1250,1.6,0.2574125682273188,0.028429434967041017,4
50,1275,0.8,0.2523134382761299,0.028445027669270834,4
51,1300,1.36,0.24731531786941727,0.02858601313370925,4
52,1325,1.2,0.24241620609169667,0.02860288368081147,5
53,1350,1.24,0.2376141416639638,0.02867255864319978,5
54,1375,0.68,0.23290720215852828,0.028598294518210672,5
55,1400,0.64,0.22829350322940142,0.02863459382738386,5
56,1425,1.68,0.22377119785792907,0.02892657430548417,5
57,1450,1.4,0.2193384756133681,0.02911520086485764,5
58,1475,0.64,0.21499356192811023,0.029232732966794805,5
59,1500,1.0,0.2107347173872628,0.029304593722025554,7
60,1525,0.8,0.20656023703230275,0.029151448578131005,7
61,1550,1.28,0.2024684496785246,0.02919296479994251,7
62,1575,1.12,0.19845771724600852,0.029233078275408064,7
63,1600,1.24,0.19452643410384257,0.02940738379955292,7
64,1625,1.36,0.19067302642733416,0.02959211598909818,7
65,1650,1.04,0.1868959515679556,0.029533313982414478,7
66,1675,1.44,0.18319369743576985,0.029491125505361985,7
67,1700,0.8,0.17956478189409023,0.029407892928403966,7
68,1725,1.6,0.1760077521661311,0.029551101352857507,7
69,1750,2.2,0.1725211842534129,0.02990858391353062,7
70,1775,0.92,0.16910368236568726,0.029749007829478088,7
71,1800,0.52,0.16575387836215566,0.029613369703292848,7
72,1825,0.28,0.16247043120375654,0.02938558029801878,7
73,1850,0.48,0.15925202641630237,0.02930139348313615,7
74,1875,0.36,0.15609737556425152,0.029157784525553385,7
75,1900,1.4,0.15300521573490414,0.02917746242723967,7
76,1925,2.0,0.1499743090328156,0.0294805908203125,9
77,1950,1.72,0.147003442084226,0.029574389457702636,9
78,1975,1.04,0.14409142555130525,0.029649975209296506,9
79,2000,2.16,0.14123709365602138,0.029930142164230348,9
80,2025,1.12,0.13843930371344051,0.029919245802325967,9
81,2050,2.56,0.13569693567427166,0.030301033113060927,9
82,2075,2.28,0.1330088916764735,0.03055586631039539,9
83,2100,2.04,0.13037409560574312,0.030735592274438766,9
84,2125,1.2,0.12779149266471138,0.03070054895737592,9
85,2150,2.76,0.12526004895067194,0.03092082511547,9
86,2175,1.04,0.12277875104167581,0.031020636174870633,9
87,2200,1.84,0.12034660559082386,0.03161970127712597,9
88,2225,1.44,0.1179626389285971,0.03170947107036462,9
89,2250,1.76,0.11562589667306389,0.031694805992974175,9
90,2275,3.68,0.11333544334780886,0.03184567975473928,10
91,2300,2.4,0.11109036200743025,0.0322746231244958,10
92,2325,2.4,0.10888975387045588,0.03248193638299101,10
93,2350,2.76,0.10673273795953075,0.032876854855963526,10
94,2375,4.24,0.10461845074873212,0.03316173081648977,16
95,2400,3.32,0.10254604581787127,0.033394343455632525,16
96,2425,3.68,0.10051469351364296,0.03366849948450462,16
97,2450,3.24,0.09852358061748719,0.03424525426358593,16
98,2475,3.76,0.0965719100200307,0.03448827021049731,16
99,2500,2.68,0.09465890040197736,0.03465899229049683,16
100,2525,3.24,0.09278378592131965,0.03514235326559237,16
101,2550,2.8,0.09094581590674636,0.0353290018380857,16
102,2575,2.52,0.08914425455712383,0.035532858672651275,16
103,2600,3.08,0.08737838064692988,0.03594585803838877,16
104,2625,3.76,0.08564748723752302,0.03614597593035017,16
105,2650,3.84,0.08395088139413134,0.0363615557832538,16
106,2675,3.2,0.0822878839084472,0.03649777884795287,16
107,2700,4.16,0.08065782902671749,0.036953595302723075,16
108,2725,5.48,0.07906006418321994,0.03716544282545737,16
109,2750,5.52,0.07749394973901931,0.037441026254133744,16
110,2775,3.6,0.07595885872589825,0.03779625995739086,16
111,2800,2.88,0.07445417659536098,0.038298388719558714,16
112,2825,3.68,0.07297930097260878,0.03859579314172795,16
113,2850,3.84,0.07153364141538922,0.03875291774147435,16
114,2875,2.76,0.07011661917762221,0.038885911112246305,16
115,2900,4.64,0.06872766697770874,0.03923416030818019,16
116,2925,4.08,0.06736622877142856,0.039434963943611866,16
117,2950,3.72,0.06603175952933744,0.039624044208203334,16
118,2975,2.76,0.06472372501857333,0.03979969657769724,16
119,3000,3.92,0.06344160158898508,0.03994627857208252,16
120,3025,4.28,0.062184875963497706,0.04022220059859851,23
121,3050,6.72,0.06095304503263025,0.04050200790655418,23
122,3075,5.92,0.059745615653084234,0.04086202032197782,23
123,3100,3.44,0.05856210445032186,0.04116527857319001,23
124,3125,4.08,0.05740203762505484,0.04155391288757324,23
125,3150,4.64,0.05626495076356674,0.041806967144920715,23
126,3175,3.36,0.055150388651792476,0.04196746916282834,23
127,3200,3.64,0.05405790509308091,0.042106442973017695,23
128,3225,4.68,0.05298706272956726,0.04233213276826134,23
129,3250,4.32,0.05193743286708415,0.042893371361952565,23
130,3275,3.56,0.05090859530354085,0.04312767800483995,23
131,3300,5.28,0.04990013816070235,0.043463267051812374,23
132,3325,3.92,0.048911657719300575,0.04378530552512721,23
133,3350,2.84,0.04794275825741206,0.04387127591602838,23
134,3375,5.84,0.046993051892037174,0.044174690387867116,23
135,3400,6.64,0.04606215842381749,0.044627960148979635,28
136,3425,7.12,0.04514970518482924,0.04501860869191859,28
137,3450,4.28,0.044255326889391836,0.04513873791349107,28
138,3475,6.92,0.043378665487831695,0.04553225002700476,28
139,3500,8.44,0.04251937002314298,0.04593618113654,28
140,3525,6.28,0.04167709649048769,0.046131461867203946,28
141,3550,6.44,0.04085150769947897,0.046438836715590785,28
142,3575,4.2,0.040042273139192536,0.04692690409146823,28
143,3600,5.84,0.03924906884585191,0.04725075880686442,28
144,3625,6.64,0.03847157727313499,0.047603026949126145,28
145,3650,5.76,0.03770948716504948,0.048248323283783374,28
146,3675,3.04,0.03696249343132678,0.04834131007291833,28
147,3700,7.56,0.036230297025283915,0.048754739890227446,29
148,3725,4.4,0.03551260482410532,0.049088545101601,29
149,3750,3.6,0.034809129511495805,0.04937493718465169,29
150,3775,5.0,0.03411958946265819,0.04966439291341415,29
151,3800,3.76,0.03344370863154946,0.05023263366598832,29
152,3825,6.04,0.032781216440370305,0.05044490571115531,29
153,3850,4.48,0.03213184767124366,0.050874594898967,29
154,3875,4.36,0.031495342360039154,0.05116187575555617,29
155,3900,6.12,0.03087144569230069,0.051453812061212,29
156,3925,6.88,0.030259907901235655,0.05179295697789283,29
157,3950,6.04,0.029660484167724904,0.05213376220268539,29
158,3975,5.8,0.029072934522313455,0.05263131027701516,29
159,4000,8.64,0.028497023749142623,0.053127432584762574,29
160,4025,10.4,0.027932521291785237,0.05343052455357143,35
161,4050,9.48,0.027379201160946144,0.05375883838276804,35
162,4075,11.68,0.026836841843991117,0.054094089613370366,47
163,4100,12.4,0.02630522621626788,0.05445578877518817,47
164,4125,9.96,0.02578414145418384,0.0547943822109338,47
165,4150,12.72,0.025273378950005653,0.0551447355316346,47
166,4175,13.6,0.024772734228346555,0.05559189202542791,47
167,4200,13.8,0.02428200686430793,0.05610795253799075,47
168,4225,6.96,0.02380100040324257,0.056823384606626615,47
169,4250,9.48,0.023329522282107242,0.05722534000172334,47
170,4275,10.72,0.022867383752373256,0.05766136069046823,47
171,4300,10.6,0.02241439980446405,0.05793989447660224,47
172,4325,12.84,0.021970389093689684,0.05850906598085613,47
173,4350,12.0,0.02153517386764845,0.05893047245069482,47
174,4375,10.28,0.0211085798950666,0.059410417992728094,47
175,4400,12.52,0.020690436396047746,0.05993455968119881,47
176,4425,15.68,0.02028057597370393,0.060812560636444954,47
177,4450,8.72,0.01987883454714097,0.061118277914068674,47
178,4475,7.8,0.01948505128577146,0.06142788514078663,47
179,4500,8.12,0.019099068544928793,0.061851774268680146,47
180,4525,10.0,0.018720731802756768,0.06213194762804231,47
