,Episodes,Score,Epsilon
0,1,1,1.0
1,2,1,0.9991
2,3,0,0.9982008099999999
3,4,1,0.9973024292709999
4,5,0,0.996404857084656
5,6,0,0.9955080927132798
6,7,0,0.9946121354298378
7,8,0,0.993716984507951
8,9,0,0.9928226392218938
9,10,0,0.9910363626576322
10,11,0,0.9901444299312403
11,12,0,0.9892532999443022
12,13,0,0.9883629719743523
13,14,0,0.9874734452995754
14,15,0,0.9865847191988057
15,16,0,0.9856967929515268
16,17,1,0.9848096658378704
17,18,0,0.9839233371386163
18,19,0,0.9830378061351915
19,20,0,0.9821530721096698
20,21,0,0.9812691343447711
21,22,0,0.9803859921238608
22,23,0,0.9795036447309493
23,24,2,0.9777413315683858
24,25,0,0.9768613643699743
25,26,0,0.9759821891420413
26,27,0,0.9751038051718134
27,28,0,0.9742262117471587
28,29,1,0.9733494081565863
29,30,0,0.9724733936892453
30,31,0,0.971598167634925
31,32,2,0.9707237292840536
32,33,0,0.969850077927698
33,34,0,0.968977212857563
34,35,0,0.9681051333659911
35,36,0,0.9672338387459617
36,37,0,0.9663633282910903
37,38,0,0.9654936012956283
38,39,0,0.9646246570544622
39,40,0,0.9637564948631132
40,41,0,0.9620225138151204
41,42,0,0.9611566935526867
42,43,0,0.9602916525284894
43,44,1,0.9594273900412137
44,45,1,0.9585639053901766
45,46,0,0.9577011978753254
46,47,0,0.9568392667972375
47,48,0,0.95597811145712
48,49,0,0.9551177311568085
49,50,0,0.9542581251987674
50,51,0,0.9533992928860885
51,52,1,0.952541233522491
52,53,0,0.9516839464123207
53,54,1,0.9508274308605495
54,55,0,0.949971686172775
55,56,0,0.9491167116552195
56,57,1,0.9482625066147298
57,58,0,0.9474090703587765
58,59,0,0.9465564021954537
59,60,0,0.9457045014334777
60,61,0,0.9448533673821876
61,62,0,0.9440029993515436
62,63,0,0.9431533966521273
63,64,0,0.9414564844924047
64,65,0,0.9406091736563615
65,66,0,0.9397626254000708
66,67,0,0.9389168390372108
67,68,0,0.9380718138820773
68,69,1,0.9372275492495834
69,70,0,0.9363840444552588
70,71,0,0.9355412988152491
71,72,1,0.9346993116463154
72,73,1,0.9338580822658337
73,74,0,0.9330176099917944
74,75,1,0.9321778941428017
75,76,1,0.9313389340380732
76,77,0,0.930500728997439
77,78,0,0.9296632783413412
78,79,0,0.928826581390834
79,80,0,0.9279906374675821
80,81,0,0.9271554458938613
81,82,1,0.9263210059925568
82,83,1,0.9254873170871636
83,84,0,0.9246543785017851
84,85,0,0.9238221895611335
85,86,1,0.9229907495905284
86,87,0,0.922160057915897
87,88,1,0.9213301138637726
88,89,2,0.9205009167612952
89,90,0,0.91967246593621
90,91,0,0.9188447607168674
91,92,3,0.9180178004322221
92,93,1,0.9171915844118331
93,94,1,0.9163661119858625
94,95,1,0.9155413824850752
